QDate,Queue No,index,Svc,Counter,UserID,QTime,Start,End,WT,ST,Valid,Remark
1-Aug-19,1001,0,Ultrasound/ Review,,,7:24:19,8:02:13,8:02:13,38,0,Y,
1-Aug-19,1001,1,Ultrasound/ Review,Review Room 4,8888,8:02:13,8:17:06,8:33:59,15,16,Y,Transferred
1-Aug-19,1002,0,Ultrasound/ Review,,,7:31:13,8:02:19,8:02:19,31,0,Y,
1-Aug-19,1003,0,Ultrasound/ Review,,,7:32:22,8:02:28,8:02:28,30,0,Y,
1-Aug-19,1004,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:36:35,7:57:53,7:58:17,21,1,Y,
1-Aug-19,1004,1,Ultrasound/ Review,Ultrasound Room 5,8888,7:58:17,7:58:17,8:02:03,0,4,Y,Transferred
1-Aug-19,1004,2,Ultrasound/ Review,Review Room 4,8888,8:02:03,8:33:59,8:40:17,31,7,Y,Transferred
1-Aug-19,1005,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:49:11,8:10:59,8:12:04,21,2,Y,
1-Aug-19,1005,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:12:04,8:12:04,8:17:35,0,5,Y,Transferred
1-Aug-19,1005,2,Ultrasound/ Review,Review Room 4,8888,8:17:35,8:40:17,8:40:27,23,0,Y,Transferred
1-Aug-19,1006,0,Ultrasound/ Review,,,7:55:32,7:55:32,7:55:32,0,0,N,
1-Aug-19,1007,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:59:26,8:19:31,8:23:51,20,4,Y,
1-Aug-19,1007,1,Ultrasound/ Review,Review Room 4,8888,8:23:51,8:47:42,8:51:01,24,4,Y,Transferred
1-Aug-19,1008,0,Ultrasound/ Review,,,7:59:33,7:59:33,7:59:33,0,0,N,
1-Aug-19,1009,0,Ultrasound/ Review,,,8:04:04,8:04:04,8:04:04,0,0,N,
1-Aug-19,1010,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:05:22,8:25:21,8:26:08,20,1,Y,
1-Aug-19,1010,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:28:17,8:28:17,8:35:57,0,7,Y,Transferred
1-Aug-19,1010,2,Ultrasound/ Review,Review Room 4,8888,8:35:57,8:54:15,9:03:45,19,9,Y,Transferred
1-Aug-19,1011,0,Ultrasound/ Review,,,8:10:28,8:10:28,8:10:28,0,0,N,
1-Aug-19,1012,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:14:58,8:26:08,8:28:17,12,2,Y,
1-Aug-19,1012,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:36:28,8:36:28,8:41:39,0,5,Y,Transferred
1-Aug-19,1012,2,Ultrasound/ Review,Review Room 4,8888,8:41:39,9:03:45,9:09:17,22,6,Y,Transferred
1-Aug-19,1013,0,Ultrasound/ Review,Review Room 4,8888,8:23:10,9:09:17,9:11:30,46,2,Y,
1-Aug-19,1014,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:24:18,8:42:59,8:47:30,18,5,Y,
1-Aug-19,1014,1,Ultrasound/ Review,Review Room 4,8888,8:47:30,9:21:07,9:27:30,34,6,Y,Transferred
1-Aug-19,1015,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:31:48,8:48:53,8:52:35,17,4,Y,
1-Aug-19,1015,1,Ultrasound/ Review,Review Room 4,8888,8:52:35,9:11:30,9:21:07,19,10,Y,Transferred
1-Aug-19,1016,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:36:40,9:09:07,9:12:05,33,3,Y,
1-Aug-19,1016,1,Ultrasound/ Review,Review Room 4,8888,9:12:05,9:35:04,9:50:19,23,15,Y,Transferred
1-Aug-19,1017,0,Ultrasound/ Review,,,8:44:29,9:06:36,9:06:36,22,0,Y,
1-Aug-19,1017,1,Ultrasound/ Review,Review Room 4,8888,9:06:36,9:27:30,9:35:04,21,8,Y,Transferred
1-Aug-19,1018,0,Ultrasound/ Review,,,9:02:29,9:02:29,9:02:29,0,0,N,
1-Aug-19,1019,0,Ultrasound/ Review,,,9:06:53,9:20:07,9:20:07,14,0,Y,
1-Aug-19,1019,0,Ultrasound/ Review,Ultrasound Room 5,8888,9:22:30,9:22:29,9:35:53,0,13,Y,
1-Aug-19,1020,0,Ultrasound/ Review,Ultrasound Room 5,8888,9:29:38,9:48:53,9:50:34,19,2,Y,
1-Aug-19,1020,1,Ultrasound/ Review,Review Room 4,8888,9:50:34,9:53:38,9:56:22,3,3,Y,Transferred
1-Aug-19,1021,0,Ultrasound/ Review,,,9:30:24,9:30:24,9:30:24,0,0,N,
1-Aug-19,1022,0,Ultrasound/ Review,Ultrasound Room 5,8888,9:30:51,9:35:53,9:43:55,5,8,Y,
1-Aug-19,1022,1,Ultrasound/ Review,Review Room 4,8888,9:43:55,9:50:19,9:53:38,7,3,Y,Transferred
1-Aug-19,1023,0,Ultrasound/ Review,Ultrasound Room 5,8888,9:53:32,9:57:19,9:57:31,4,0,Y,
1-Aug-19,1023,1,Ultrasound/ Review,Ultrasound Room 5,8888,9:57:31,9:57:31,10:03:56,0,6,Y,Transferred
1-Aug-19,1024,0,Ultrasound/ Review,,,10:04:28,10:04:28,10:04:28,0,0,N,
2-Aug-19,1001,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:20:48,7:54:43,8:02:08,34,8,Y,
2-Aug-19,1001,1,Ultrasound/ Review,Review Room 4,8888,8:02:08,8:41:31,8:44:50,39,3,Y,Transferred
2-Aug-19,1002,0,Ultrasound/ Review,Treatment Room 3,8888,7:20:54,8:47:09,8:51:42,87,4,Y,
2-Aug-19,1003,0,Ultrasound/ Review,Treatment Room 3,8888,7:21:01,8:51:42,8:54:52,90,3,Y,
2-Aug-19,1004,0,Ultrasound/ Review,Review Room 4,8888,7:21:21,10:50:36,13:01:09,209,30,Y,
2-Aug-19,1005,0,Ultrasound/ Review,Treatment Room 3,8888,7:29:38,8:54:52,8:55:07,85,1,Y,
2-Aug-19,1005,1,Ultrasound/ Review,Treatment Room 3,8888,8:55:07,8:55:07,8:58:15,0,3,Y,Transferred
2-Aug-19,1006,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:29:58,8:03:36,8:13:44,34,10,Y,
2-Aug-19,1006,1,Ultrasound/ Review,Treatment Room 3,8888,8:13:44,8:58:15,9:07:45,45,9,Y,Transferred
2-Aug-19,1007,0,Ultrasound/ Review,Treatment Room 3,8888,7:30:26,9:07:45,9:09:52,97,2,Y,
2-Aug-19,1008,0,Ultrasound/ Review,Treatment Room 3,8888,7:30:32,9:09:52,9:14:36,99,5,Y,
2-Aug-19,1009,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:33:38,8:15:13,8:15:26,42,0,Y,
2-Aug-19,1009,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:15:26,8:15:26,8:19:21,0,4,Y,Transferred
2-Aug-19,1009,2,Ultrasound/ Review,Treatment Room 3,8888,8:19:21,9:14:36,9:16:40,55,2,Y,Transferred
2-Aug-19,1010,0,Ultrasound/ Review,Treatment Room 3,8888,7:35:12,9:16:40,9:23:15,101,7,Y,
2-Aug-19,1011,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:39:57,8:19:35,8:20:03,40,1,Y,
2-Aug-19,1011,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:20:03,8:20:03,8:23:14,0,3,Y,Transferred
2-Aug-19,1011,2,Ultrasound/ Review,Review Room 4,8888,8:23:14,8:44:50,8:48:23,21,4,Y,Transferred
2-Aug-19,1012,0,Ultrasound/ Review,Review Room 4,8888,7:40:45,8:56:35,9:06:14,76,10,Y,
2-Aug-19,1013,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:41:06,8:23:19,8:29:36,42,6,Y,
2-Aug-19,1013,1,Ultrasound/ Review,Review Room 4,8888,8:29:36,8:48:23,8:56:35,19,8,Y,Transferred
2-Aug-19,1014,0,Ultrasound/ Review,Review Room 4,8888,7:45:00,9:06:14,9:09:25,81,3,Y,
2-Aug-19,1015,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:47:46,8:31:24,8:31:33,44,0,Y,
2-Aug-19,1015,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:31:33,8:31:33,8:39:17,0,8,Y,Transferred
2-Aug-19,1015,2,Ultrasound/ Review,Review Room 4,8888,8:39:17,9:10:27,9:10:56,31,0,Y,Transferred
2-Aug-19,1015,3,Ultrasound/ Review,Review Room 4,8888,9:10:56,9:10:56,9:14:32,0,4,Y,
2-Aug-19,1016,0,Ultrasound/ Review,Review Room 4,8888,7:49:02,9:14:32,9:18:18,85,4,Y,
2-Aug-19,1017,0,Ultrasound/ Review,Ultrasound Room 5,8888,7:51:32,8:41:18,8:41:36,50,0,Y,
2-Aug-19,1017,1,Ultrasound/ Review,Ultrasound Room 5,8888,8:41:36,8:41:36,8:48:55,0,7,Y,Transferred
2-Aug-19,1017,2,Ultrasound/ Review,Review Room 4,8888,8:48:55,9:18:18,9:23:42,30,5,Y,Transferred
2-Aug-19,1018,0,Ultrasound/ Review,,,7:52:04,7:52:04,7:52:04,0,0,N,
2-Aug-19,1019,0,Ultrasound/ Review,Treatment Room 3,8888,7:55:58,9:23:15,9:26:38,88,3,Y,
2-Aug-19,1020,0,Ultrasound/ Review,Treatment Room 3,8888,7:56:05,9:26:38,9:30:21,90,4,Y,
2-Aug-19,1021,0,Ultrasound/ Review,,,7:56:19,7:56:19,7:56:19,0,0,N,
2-Aug-19,1022,0,Ultrasound/ Review,Treatment Room 3,8888,7:58:15,9:30:21,9:37:11,92,7,Y,
2-Aug-19,1023,0,Ultrasound/ Review,Review Room 4,8888,7:59:10,9:28:25,9:35:25,89,7,Y,
2-Aug-19,1024,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:04:39,8:53:33,9:01:17,49,8,Y,
2-Aug-19,1024,1,Ultrasound/ Review,Review Room 4,8888,9:01:17,9:23:42,9:27:14,22,4,Y,Transferred
2-Aug-19,1025,0,Ultrasound/ Review,Ultrasound Room 5,8888,8:06:13,9:36:22,9:36:50,90,0,Y,
2-Aug-19,1025,0,Ultrasound/ Review,Review Room 4,8888,9:36:51,10:04:58,10:07:54,28,3,Y,
2-Aug-19,1026,0,Ultrasound/ Review,Review Room 4,8888,8:11:14,9:36:06,9:37:59,85,1,Y,
